Id_delta	depart_date_time	arrive_date_time	depart_airport	arrive_airport	flight_number	flight_cost_coach	flight_cost_business	flight_cost_first
23	2022-12-30 15:10:00	2022-12-30 18:45:00	Minneapolis (MSP)	Fort Myers (RSW)	DL749	601.23	1127.08	5435.93
24	2022-12-30 11:00:00	2022-12-30 13:57:00	Baltimore (BWI)	Minneapolis (MSP)	DL2192	618.08	2670.72	4373.06
25	2022-12-30 02:15:00	2022-12-30 04:47:00	Minneapolis (MSP)	Baltimore (BWI)	DL2058	428.07	851.46	4012.23
26	2022-12-29 20:18:00	2022-12-29 00:45:00	Cancun (CUN)	Minneapolis (MSP)	DL1878	515.4	3294.26	7976.52
27	2022-12-29 15:01:00	2022-12-29 19:18:00	Minneapolis (MSP)	Cancun (CUN)	DL1881	437.25	3182.66	7660.97
28	2022-12-29 08:45:00	2022-12-29 12:28:00	San Francisco (SFO)	Minneapolis (MSP)	DL2690	501.44	1458.52	8933.01
29	2022-12-29 03:15:00	2022-12-29 07:34:00	Minneapolis (MSP)	San Francisco (SFO)	DL968	720.85	3018.38	9719.29
30	2022-12-28 22:29:00	2022-12-28 02:05:00	Orlando (MCO)	Minneapolis (MSP)	DL2414	703.95	1496.46	4196.98
31	2022-12-28 17:27:00	2022-12-28 20:27:00	New York (JFK)	Orlando (MCO)	DL2872	484.82	1613.82	8426.68
32	2022-12-28 13:45:00	2022-12-28 16:16:00	Orlando (MCO)	New York (JFK)	DL2738	500.65	2224.88	5138.38
33	2022-12-28 00:50:00	2022-12-28 05:01:00	Salt Lake City (SLC)	Orlando (MCO)	DL1016	708.02	3003.08	4747.1
34	2022-12-27 18:42:00	2022-12-27 23:40:00	Orlando (MCO)	Salt Lake City (SLC)	DL1504	320.73	1125	9558.21
35	2022-12-27 14:30:00	2022-12-27 17:32:00	New York (LGA)	Orlando (MCO)	DL933	286.7	1940.46	9605.03
36	2022-12-26 23:35:00	2022-12-26 02:10:00	Orlando (MCO)	New York (LGA)	DL2376	261.19	1307.11	9563.43
37	2023-01-05 00:59:00	2023-01-05 03:54:00	Orlando (MCO)	Boston (BOS)	DL1063	414.75	2059.9	3127.38
38	2023-01-04 20:36:00	2023-01-04 23:49:00	New York (JFK)	Orlando (MCO)	DL2652	708.02	2954.88	6075.19
39	2023-01-04 16:54:00	2023-01-04 19:26:00	Orlando (MCO)	New York (JFK)	DL812	615.02	2047.98	9792.6
40	2023-01-04 12:37:00	2023-01-04 15:44:00	New York (JFK)	Orlando (MCO)	DL812	291.59	2968.56	3727.54
41	2023-01-04 06:55:00	2023-01-04 11:22:00	Salt Lake City (SLC)	New York (JFK)	DL399	720	2858.72	9549.26
42	2023-01-04 01:23:00	2023-01-04 05:11:00	New Orleans (MSY)	Salt Lake City (SLC)	DL948	538.6	1642.34	9371.72
43	2023-01-03 20:57:00	2023-01-03 00:13:00	Salt Lake City (SLC)	New Orleans (MSY)	DL948	472.24	2914.3	5296.55
44	2023-01-03 16:45:00	2023-01-03 19:47:00	Minneapolis (MSP)	Salt Lake City (SLC)	DL723	331.51	3347.71	4721.47
45	2023-01-03 12:50:00	2023-01-03 15:20:00	Bozeman (BZN)	Minneapolis (MSP)	DL2344	599.14	2460.53	4638.52
46	2023-01-03 03:55:00	2023-01-03 06:30:00	Minneapolis (MSP)	Bozeman (BZN)	DL2915	278.36	3126.41	6319.09
47	2023-01-02 21:15:00	2023-01-02 00:49:00	Los Angeles (LAX)	Minneapolis (MSP)	DL1261	451.06	3151.25	3838.21
48	2023-01-02 14:57:00	2023-01-02 20:05:00	Atlanta (ATL)	Los Angeles (LAX)	DL516	283.54	3069.63	5745.2
49	2023-01-02 11:39:00	2023-01-02 13:44:00	Kansas City (MCI)	Atlanta (ATL)	DL727	251.47	2116.65	8073.99
50	2023-01-05 00:35:00	2023-01-05 04:15:00	Salt Lake City (SLC)	Atlanta (ATL)	DL1217	396.08	3212.34	5963.02
51	2023-01-04 19:10:00	2023-01-04 23:25:00	Atlanta (ATL)	Salt Lake City (SLC)	DL2599	667.28	766.06	6318.41
52	2023-01-04 16:07:00	2023-01-04 18:00:00	West Palm Beach (PBI)	Atlanta (ATL)	DL1379	636.08	1685.42	3108.45
53	2023-01-04 13:10:00	2023-01-04 14:57:00	Atlanta (ATL)	West Palm Beach (PBI)	DL1379	457.95	3032.82	8895.63
54	2023-01-04 06:29:00	2023-01-04 10:40:00	Los Angeles (LAX)	Atlanta (ATL)	DL309	570.09	2378.75	7835.93
55	2023-01-03 23:25:00	2023-01-03 04:31:00	Detroit (DTW)	Los Angeles (LAX)	DL2737	481	1379.27	9222.93
56	2023-01-03 18:30:00	2023-01-03 21:40:00	Miami (MIA)	Detroit (DTW)	DL1321	589.75	3274.41	5878.1
57	2023-01-03 14:03:00	2023-01-03 17:20:00	Detroit (DTW)	Miami (MIA)	DL1321	424.93	1120.36	5681.86
58	2023-01-03 10:30:00	2023-01-03 12:53:00	Boston (BOS)	Detroit (DTW)	DL826	397.6	3328.97	4461.93
59	2023-01-03 03:25:00	2023-01-03 05:56:00	Atlanta (ATL)	Boston (BOS)	DL1452	311.06	2880.35	4984.43
60	2023-01-02 23:34:00	2023-01-02 01:30:00	West Palm Beach (PBI)	Atlanta (ATL)	DL1377	392.3	1633.71	4202.93
61	2023-01-02 20:38:00	2023-01-02 22:24:00	Atlanta (ATL)	West Palm Beach (PBI)	DL1377	493.05	866.6	6586
62	2023-01-02 15:34:00	2023-01-02 19:28:00	Salt Lake City (SLC)	Atlanta (ATL)	DL405	602.7	1265.96	3772.18
63	2023-01-02 13:00:00	2023-01-02 14:24:00	Boise (BOI)	Salt Lake City (SLC)	DL1718	584.71	2545.87	7343.32
64	2023-01-02 11:40:00	2023-01-02 16:45:00	Orlando (MCO)	Salt Lake City (SLC)	DL770	347.17	986.21	9141.62
65	2023-01-02 03:45:00	2023-01-02 05:10:00	Salt Lake City (SLC)	Boise (BOI)	DL2668	361.02	3427.29	9097.45
66	2023-01-02 00:50:00	2023-01-02 05:01:00	Salt Lake City (SLC)	Orlando (MCO)	DL1016	584.72	1889.24	4514.3
67	2023-01-01 18:42:00	2023-01-01 23:40:00	Orlando (MCO)	Salt Lake City (SLC)	DL1504	434.18	2686.67	6999.07
68	2023-01-01 14:30:00	2023-01-01 17:32:00	New York (LGA)	Orlando (MCO)	DL933	702.18	1103.65	6415.68
69	2022-12-31 19:34:00	2022-12-31 22:10:00	Orlando (MCO)	New York (LGA)	DL2817	618.85	1543.24	3093.76
70	2022-12-31 14:00:00	2022-12-31 18:22:00	Salt Lake City (SLC)	Orlando (MCO)	DL2821	723.94	1084.24	3216
71	2022-12-31 03:14:00	2022-12-31 07:30:00	Atlanta (ATL)	Salt Lake City (SLC)	DL476	331.51	3173.78	9195.03
72	2022-12-30 23:22:00	2022-12-30 01:44:00	Buffalo (BUF)	Atlanta (ATL)	DL1507	723.54	916.78	9123.44
73	2022-12-30 20:14:00	2022-12-30 22:12:00	Atlanta (ATL)	Buffalo (BUF)	DL1507	527.56	2280.33	8939.9
74	2022-12-30 15:34:00	2022-12-30 19:28:00	Salt Lake City (SLC)	Atlanta (ATL)	DL405	447.84	816.9	5718.01
75	2022-12-30 13:00:00	2022-12-30 14:24:00	Boise (BOI)	Salt Lake City (SLC)	DL1718	543.58	2627.65	4883.56
76	2022-12-30 06:15:00	2022-12-30 07:40:00	Salt Lake City (SLC)	Boise (BOI)	DL2668	416.94	1498.36	5388.88
77	2022-12-30 00:03:00	2022-12-30 05:05:00	Orlando (MCO)	Salt Lake City (SLC)	DL1065	720.59	1374.12	9786.64
78	2022-12-29 18:40:00	2022-12-29 22:53:00	Salt Lake City (SLC)	Orlando (MCO)	DL1065	709.5	3170.45	8486.86
79	2022-12-29 14:20:00	2022-12-29 17:24:00	Minneapolis (MSP)	Salt Lake City (SLC)	DL1009	350.21	3459.36	6288.6
80	2022-12-29 12:00:00	2022-12-29 13:32:00	Kansas City (MCI)	Minneapolis (MSP)	DL1312	520.96	1886.59	9848.98
81	2022-12-29 04:00:00	2022-12-29 06:12:00	Atlanta (ATL)	Kansas City (MCI)	DL743	423.73	2541.05	8206.88
82	2022-12-28 23:53:00	2022-12-28 02:49:00	Albuquerque (ABQ)	Atlanta (ATL)	DL2728	471.72	1230.82	7872.01
83	2022-12-28 19:21:00	2022-12-28 22:43:00	Atlanta (ATL)	Albuquerque (ABQ)	DL2728	517.29	811.75	8667.77
84	2022-12-28 15:00:00	2022-12-28 18:02:00	Denver (DEN)	Atlanta (ATL)	DL1284	259.81	2098.26	6473.31
85	2022-12-28 02:15:00	2022-12-28 05:32:00	Detroit (DTW)	Denver (DEN)	DL2122	646.09	2741.32	4811.29
86	2022-12-27 22:20:00	2022-12-27 01:01:00	Denver (DEN)	Detroit (DTW)	DL1282	391.08	1253.65	4482.48
87	2022-12-27 17:47:00	2022-12-27 21:08:00	Detroit (DTW)	Denver (DEN)	DL1206	458.74	1053.98	3853.74
88	2022-12-27 13:40:00	2022-12-27 16:35:00	Denver (DEN)	Detroit (DTW)	DL2663	347.18	3137.53	3954.81
89	2022-12-26 23:40:00	2022-12-26 03:05:00	Atlanta (ATL)	Denver (DEN)	DL2249	617.67	2545.8	7839.41
90	2023-01-05 01:30:00	2023-01-05 03:59:00	Orlando (MCO)	New York (JFK)	DL2325	363.47	1187.77	4202.22
91	2023-01-04 20:55:00	2023-01-04 00:20:00	Boston (BOS)	Orlando (MCO)	DL1381	584.72	1869.56	7395.65
92	2023-01-04 16:37:00	2023-01-04 19:45:00	Miami (MIA)	Boston (BOS)	DL2911	591.89	1230.85	9359.28
93	2023-01-04 12:10:00	2023-01-04 15:27:00	Boston (BOS)	Miami (MIA)	DL2911	431.75	754.33	5384.06
94	2023-01-04 01:00:00	2023-01-04 03:31:00	Atlanta (ATL)	Boston (BOS)	DL2990	264.23	3151.26	5011.19
95	2023-01-03 22:05:00	2023-01-03 23:48:00	Tampa (TPA)	Atlanta (ATL)	DL474	659.79	2599.83	7349.39
96	2023-01-03 19:28:00	2023-01-03 20:54:00	Atlanta (ATL)	Tampa (TPA)	DL474	375.79	1152.5	6886.48
97	2023-01-03 15:00:00	2023-01-03 18:02:00	Denver (DEN)	Atlanta (ATL)	DL1284	664.37	1369.84	8677.69
98	2023-01-03 00:45:00	2023-01-03 03:06:00	Minneapolis (MSP)	Denver (DEN)	DL2777	309.69	2939.92	4041.62
99	2023-01-02 19:35:00	2023-01-02 23:33:00	Fort Lauderdale (FLL)	Minneapolis (MSP)	DL712	725.23	2421.09	6356
100	2023-01-02 14:50:00	2023-01-02 18:25:00	Minneapolis (MSP)	Fort Lauderdale (FLL)	DL712	469.46	1808.44	9511.37
101	2023-01-02 12:00:00	2023-01-02 13:32:00	Kansas City (MCI)	Minneapolis (MSP)	DL1312	376.92	1071.61	4378.31
102	2023-01-02 03:25:00	2023-01-02 04:58:00	Minneapolis (MSP)	Kansas City (MCI)	DL2527	312.3	1519.21	6936.69
103	2023-01-01 20:18:00	2023-01-01 00:45:00	Cancun (CUN)	Minneapolis (MSP)	DL1878	503.8	1960.77	8868.98
104	2023-01-01 15:01:00	2023-01-01 19:18:00	Minneapolis (MSP)	Cancun (CUN)	DL1881	315.4	3287.17	3753.45
105	2023-01-01 00:10:00	2023-01-01 02:45:00	Salt Lake City (SLC)	Minneapolis (MSP)	DL924	291.3	2462.8	4518.22
106	2022-12-31 21:20:00	2022-12-31 23:00:00	Phoenix (PHX)	Salt Lake City (SLC)	DL891	454.12	2681.31	4012.25
107	2022-12-31 18:25:00	2022-12-31 20:09:00	Salt Lake City (SLC)	Phoenix (PHX)	DL891	701.35	2144.55	8109.63
108	2022-12-31 14:05:00	2022-12-31 17:14:00	Minneapolis (MSP)	Salt Lake City (SLC)	DL1009	301.21	2859.33	4139.08
109	2022-12-31 11:00:00	2022-12-31 12:21:00	Fargo (FAR)	Minneapolis (MSP)	DL2707	345.73	3024.8	3251.53
110	2022-12-31 05:25:00	2022-12-31 06:38:00	Minneapolis (MSP)	Fargo (FAR)	DL1730	665.13	3212.34	3620.95
111	2022-12-31 01:07:00	2022-12-31 04:12:00	Las Vegas (LAS)	Minneapolis (MSP)	DL2067	347.31	1573.85	6071.21
112	2022-12-30 22:33:00	2022-12-30 23:57:00	Salt Lake City (SLC)	Las Vegas (LAS)	DL2696	579.12	2511.33	5076.06
113	2022-12-30 17:15:00	2022-12-30 21:23:00	Detroit (DTW)	Salt Lake City (SLC)	DL2167	260.13	1253.67	7115.3
114	2022-12-30 14:14:00	2022-12-30 16:10:00	Atlanta (ATL)	Detroit (DTW)	DL352	468.73	2584.51	4683.01
115	2022-12-30 11:00:00	2022-12-30 12:57:00	Pittsburgh (PIT)	Atlanta (ATL)	DL2161	353.84	2773.76	3978.28
116	2022-12-30 04:00:00	2022-12-30 05:36:00	Atlanta (ATL)	Pittsburgh (PIT)	DL2689	503.95	3396.77	3224.26
117	2022-12-30 00:55:00	2022-12-30 02:49:00	West Palm Beach (PBI)	Atlanta (ATL)	DL1230	705.67	1226.26	3907.24
118	2022-12-29 22:02:00	2022-12-29 23:45:00	Atlanta (ATL)	West Palm Beach (PBI)	DL1230	333.6	2670.22	4443.17
119	2022-12-29 18:25:00	2022-12-29 21:07:00	Cancun (CUN)	Atlanta (ATL)	DL641	355.79	1047.27	3246.51
120	2022-12-29 14:46:00	2022-12-29 17:25:00	Atlanta (ATL)	Cancun (CUN)	DL586	412.97	3080.17	3099.87
121	2022-12-29 11:00:00	2022-12-29 12:59:00	Cleveland (CLE)	Atlanta (ATL)	DL1444	388.33	2607.44	8957.78
122	2022-12-29 03:37:00	2022-12-29 05:23:00	Atlanta (ATL)	Cleveland (CLE)	DL960	431.73	2338.07	3572.21
123	2022-12-28 22:49:00	2022-12-28 02:21:00	Phoenix (PHX)	Atlanta (ATL)	DL2464	315.62	1108.15	8102.44
124	2022-12-28 17:25:00	2022-12-28 21:39:00	Atlanta (ATL)	Phoenix (PHX)	DL2464	569.95	1960.81	7343.53
125	2022-12-28 13:25:00	2022-12-28 16:09:00	Minneapolis (MSP)	Atlanta (ATL)	DL408	250.7	2038.99	4106.2
126	2022-12-28 03:45:00	2022-12-28 06:27:00	Salt Lake City (SLC)	Minneapolis (MSP)	DL1073	273.37	1229.2	4728.76
127	2022-12-27 23:05:00	2022-12-27 02:13:00	San Jose del Cabo (SJD)	Salt Lake City (SLC)	DL1951	362.93	1120.41	9484.9
128	2022-12-27 18:38:00	2022-12-27 22:00:00	Salt Lake City (SLC)	San Jose del Cabo (SJD)	DL1952	285.87	3016.58	3249.08
129	2022-12-27 12:00:00	2022-12-27 17:06:00	Tampa (TPA)	Salt Lake City (SLC)	DL956	392.18	2681.31	7963.27
130	2022-12-27 06:29:00	2022-12-27 10:45:00	Salt Lake City (SLC)	Tampa (TPA)	DL1050	418.15	3495.35	5760.49
131	2022-12-27 01:18:00	2022-12-27 03:13:00	Los Angeles (LAX)	Salt Lake City (SLC)	DL2626	373.61	1779.31	3469.72
132	2023-01-05 06:55:00	2023-01-05 11:22:00	Salt Lake City (SLC)	New York (JFK)	DL399	533.57	2027.17	9303.3
133	2023-01-05 00:59:00	2023-01-05 05:04:00	Detroit (DTW)	Salt Lake City (SLC)	DL1036	748.4	3065.31	9897.82
134	2023-01-04 20:05:00	2023-01-04 23:03:00	Fort Myers (RSW)	Detroit (DTW)	DL2472	343.15	1939.79	5802.41
135	2023-01-04 15:30:00	2023-01-04 18:31:00	Detroit (DTW)	Fort Myers (RSW)	DL2472	626.54	1773.31	9253.1
136	2023-01-04 12:15:00	2023-01-04 14:12:00	Atlanta (ATL)	Detroit (DTW)	DL389	641.27	3463.11	9051.29
137	2023-01-04 06:30:00	2023-01-04 10:34:00	San Diego (SAN)	Atlanta (ATL)	DL1068	387.65	1037.3	3651.82
138	2023-01-03 22:01:00	2023-01-03 02:57:00	Detroit (DTW)	San Diego (SAN)	DL744	449.09	2200.45	6237.3
139	2023-01-03 18:10:00	2023-01-03 20:51:00	Denver (DEN)	Detroit (DTW)	DL913	563.89	1390.68	6537.86
140	2023-01-03 13:30:00	2023-01-03 17:00:00	Detroit (DTW)	Denver (DEN)	DL913	676.09	2770.15	9400.14
141	2023-01-03 07:30:00	2023-01-03 11:22:00	Las Vegas (LAS)	Detroit (DTW)	DL950	296.74	1026.49	5313.4
142	2023-01-03 01:35:00	2023-01-03 06:19:00	Detroit (DTW)	Las Vegas (LAS)	DL2313	261.2	1452.76	4152.32
143	2023-01-02 19:54:00	2023-01-02 00:15:00	Seattle (SEA)	Detroit (DTW)	DL2958	632.56	2168.48	9885.32
144	2023-01-02 13:25:00	2023-01-02 18:44:00	Detroit (DTW)	Seattle (SEA)	DL1251	636.09	1413.68	7131.7
145	2023-01-02 06:05:00	2023-01-02 10:29:00	Los Angeles (LAX)	Detroit (DTW)	DL2683	727.55	1560.23	5646.81
146	2023-01-02 00:17:00	2023-01-02 02:15:00	Salt Lake City (SLC)	Los Angeles (LAX)	DL978	545.88	1993.6	8790.96
147	2023-01-01 12:00:00	2023-01-01 17:06:00	Tampa (TPA)	Salt Lake City (SLC)	DL956	469.5	986.2	7553.2
148	2023-01-01 00:55:00	2023-01-01 05:02:00	Salt Lake City (SLC)	Tampa (TPA)	DL1050	275.54	992.8	5674.65
149	2022-12-31 20:45:00	2022-12-31 23:45:00	Minneapolis (MSP)	Salt Lake City (SLC)	DL993	702.64	874.96	6853.78
150	2022-12-31 16:03:00	2022-12-31 19:34:00	Orlando (MCO)	Minneapolis (MSP)	DL1739	708.01	2169.42	7757.05
151	2022-12-31 12:05:00	2022-12-31 14:53:00	New York (LGA)	Orlando (MCO)	DL2375	456.44	1531.42	3697.96
152	2022-12-31 01:30:00	2022-12-31 03:42:00	Atlanta (ATL)	New York (LGA)	DL2411	256.81	2706.92	9654.53
153	2022-12-30 20:39:00	2022-12-30 00:08:00	Phoenix (PHX)	Atlanta (ATL)	DL2355	460.38	3462.94	7516.57
154	2022-12-30 15:10:00	2022-12-30 19:29:00	Atlanta (ATL)	Phoenix (PHX)	DL2355	588.73	3374.68	4967.12
155	2022-12-30 11:45:00	2022-12-30 14:00:00	San Antonio (SAT)	Atlanta (ATL)	DL2115	534.12	1726.19	3971.86
156	2022-12-30 03:45:00	2022-12-30 06:26:00	Atlanta (ATL)	San Antonio (SAT)	DL1521	630.85	2441.49	6110.33
157	2022-12-29 22:25:00	2022-12-29 02:35:00	San Diego (SAN)	Atlanta (ATL)	DL2959	365.42	1291.49	9632.74
158	2022-12-29 17:18:00	2022-12-29 21:15:00	Minneapolis (MSP)	San Diego (SAN)	DL1465	338.42	852.35	3541.55
159	2022-12-29 12:50:00	2022-12-29 16:06:00	New York (LGA)	Minneapolis (MSP)	DL742	661.93	2204.2	7522.5
160	2022-12-29 00:59:00	2022-12-29 04:00:00	Miami (MIA)	New York (LGA)	DL2342	376.93	3120.68	6215.62
161	2022-12-28 20:34:00	2022-12-28 23:49:00	New York (LGA)	Miami (MIA)	DL2342	505.72	1939.78	8541.47
162	2022-12-28 16:26:00	2022-12-28 19:24:00	Miami (MIA)	New York (LGA)	DL1370	253.43	2204.14	8572.45
163	2022-12-28 12:05:00	2022-12-28 15:16:00	New York (LGA)	Miami (MIA)	DL1370	583.96	2264.02	5458.85
164	2022-12-28 01:30:00	2022-12-28 03:42:00	Atlanta (ATL)	New York (LGA)	DL2411	292.2	2632.42	6788.45
165	2022-12-27 19:59:00	2022-12-27 23:46:00	Bozeman (BZN)	Atlanta (ATL)	DL2469	316.5	1292.21	7094.37
166	2022-12-27 14:29:00	2022-12-27 18:48:00	Atlanta (ATL)	Bozeman (BZN)	DL2469	537.75	1488.96	3076.92
167	2022-12-27 12:00:00	2022-12-27 13:19:00	Memphis (MEM)	Atlanta (ATL)	DL1648	278.98	808.61	4998.64
168	2022-12-27 04:59:00	2022-12-27 06:26:00	Atlanta (ATL)	Memphis (MEM)	DL2583	296.16	1155.33	8706.59
169	2022-12-27 00:46:00	2022-12-27 03:39:00	Denver (DEN)	Atlanta (ATL)	DL2785	682.85	3393.2	8656.79
170	2023-01-05 00:45:00	2023-01-05 03:58:00	Fort Lauderdale (FLL)	Boston (BOS)	DL675	515.51	1164.12	9206.21
171	2023-01-04 20:00:00	2023-01-04 23:32:00	Boston (BOS)	Fort Lauderdale (FLL)	DL675	491.15	2629.91	5623.97
172	2023-01-04 16:00:00	2023-01-04 18:47:00	Minneapolis (MSP)	Boston (BOS)	DL737	451.55	3390.9	4738.47
173	2023-01-04 11:15:00	2023-01-04 14:47:00	Tampa (TPA)	Minneapolis (MSP)	DL2475	646.08	3339.04	3572.03
174	2023-01-04 00:50:00	2023-01-04 04:15:00	Minneapolis (MSP)	Tampa (TPA)	DL332	263.38	2301.72	8219.12
175	2023-01-03 19:51:00	2023-01-03 23:28:00	San Diego (SAN)	Minneapolis (MSP)	DL2762	443.51	1616.4	9414.42
176	2023-01-03 13:30:00	2023-01-03 18:41:00	Detroit (DTW)	San Diego (SAN)	DL934	393.35	1613.12	8173.74
177	2023-01-03 11:00:00	2023-01-03 12:16:00	Indianapolis (IND)	Detroit (DTW)	DL2307	331.51	3173.76	9955.51
178	2023-01-03 02:25:00	2023-01-03 04:07:00	Minneapolis (MSP)	Indianapolis (IND)	DL2667	636.16	851.5	7205.95
179	2023-01-02 21:18:00	2023-01-02 01:45:00	Cancun (CUN)	Minneapolis (MSP)	DL1888	343.15	3406.51	6482.19
180	2023-01-02 16:06:00	2023-01-02 20:18:00	Minneapolis (MSP)	Cancun (CUN)	DL648	293.53	2281.3	9113.08
181	2023-01-02 11:00:00	2023-01-02 14:20:00	Windsor Locks (BDL)	Minneapolis (MSP)	DL1624	511.68	1321.04	5903.41
182	2023-01-02 01:00:00	2023-01-02 03:41:00	Minneapolis (MSP)	Windsor Locks (BDL)	DL2149	711.85	1364.87	4288.37
183	2023-01-01 19:53:00	2023-01-01 23:30:00	Orlando (MCO)	Minneapolis (MSP)	DL1604	347.18	3236.59	7897.46
184	2023-01-01 15:40:00	2023-01-01 18:43:00	New York (JFK)	Orlando (MCO)	DL1324	504.72	1395.19	3587.2
185	2022-12-31 16:54:00	2022-12-31 19:26:00	Orlando (MCO)	New York (JFK)	DL812	727.38	1488.98	4172.9
186	2022-12-31 12:37:00	2022-12-31 15:44:00	New York (JFK)	Orlando (MCO)	DL812	309.68	2672.45	4373.19
187	2022-12-31 06:55:00	2022-12-31 11:22:00	Salt Lake City (SLC)	New York (JFK)	DL399	704.66	1066.56	8922.33
188	2022-12-31 00:59:00	2022-12-31 05:15:00	Detroit (DTW)	Salt Lake City (SLC)	DL1583	694.65	2265.5	7060.86
189	2022-12-30 20:05:00	2022-12-30 23:03:00	Fort Myers (RSW)	Detroit (DTW)	DL2472	330.28	1321.04	4789.62
190	2022-12-30 15:30:00	2022-12-30 18:31:00	Detroit (DTW)	Fort Myers (RSW)	DL2472	338.62	3067.66	4339.39
191	2022-12-30 12:15:00	2022-12-30 14:12:00	Atlanta (ATL)	Detroit (DTW)	DL389	347.32	1170.87	6722.5
192	2022-12-30 06:55:00	2022-12-30 10:38:00	Las Vegas (LAS)	Atlanta (ATL)	DL777	383.72	3249.49	5683.16
193	2022-12-29 23:13:00	2022-12-29 03:47:00	Atlanta (ATL)	Las Vegas (LAS)	DL777	536.36	2694.61	9105.33
194	2022-12-29 19:17:00	2022-12-29 22:03:00	Denver (DEN)	Atlanta (ATL)	DL2351	262.16	2930.56	7122.89
195	2022-12-29 14:40:00	2022-12-29 18:07:00	Atlanta (ATL)	Denver (DEN)	DL2351	321.82	1314.39	6043.73
196	2022-12-29 12:15:00	2022-12-29 14:16:00	Cleveland (CLE)	Atlanta (ATL)	DL2218	563.89	826.9	9285.79
197	2022-12-29 00:59:00	2022-12-29 02:44:00	Atlanta (ATL)	Cleveland (CLE)	DL343	740.81	3261.77	7297.33
198	2022-12-28 19:59:00	2022-12-28 23:46:00	Bozeman (BZN)	Atlanta (ATL)	DL2469	267.89	1908.81	8926.27
199	2022-12-28 14:29:00	2022-12-28 18:48:00	Atlanta (ATL)	Bozeman (BZN)	DL2469	726.48	3162.59	4871.03
200	2022-12-28 11:39:00	2022-12-28 13:44:00	Kansas City (MCI)	Atlanta (ATL)	DL727	732.69	2335.28	4533.85
201	2022-12-28 04:00:00	2022-12-28 06:12:00	Atlanta (ATL)	Kansas City (MCI)	DL743	727.61	1940.45	6846.14
202	2022-12-28 00:42:00	2022-12-28 02:50:00	Austin (AUS)	Atlanta (ATL)	DL1078	714.19	3421.02	4521.86
203	2022-12-27 21:05:00	2022-12-27 23:32:00	Atlanta (ATL)	Austin (AUS)	DL1078	487.25	1458.88	5167.27
