Id_delta,depart_date_time,arrive_date_time,depart_airport,arrive_airport,flight_number,flight_cost_coach,flight_cost_business
19,2023-01-01 18:15:00,2023-01-01 21:30:00,Phoenix (PHX),Chicago (MDW),WN3730,322.64,3008.53
20,2023-01-01 15:55:00,2023-01-01 17:20:00,Long Beach (LGB),Phoenix (PHX),WN3730,1055.51,2896.23
21,2022-12-31 23:55:00,2022-12-31 04:40:00,Nashville (BNA),Long Beach (LGB),WN2069,223.68,1156.61
22,2022-12-31 21:10:00,2022-12-31 23:15:00,Washington (DCA),Nashville (BNA),WN2069,579.58,3250.55
23,2022-12-31 18:45:00,2022-12-31 20:25:00,Nashville (BNA),Washington (DCA),WN2913,631.06,2696.57
24,2022-12-31 15:15:00,2022-12-31 17:45:00,Fort Lauderdale (FLL),Nashville (BNA),WN2913,845.71,2737.73
25,2022-12-31 11:30:00,2022-12-31 14:15:00,Baltimore (BWI),Fort Lauderdale (FLL),WN502,1078.62,2466.21
26,2022-12-31 02:20:00,2022-12-31 05:05:00,Houston (HOU),Baltimore (BWI),WN2225,287.99,1743.9
27,2022-12-30 23:40:00,2022-12-30 01:05:00,Lubbock (LBB),Houston (HOU),WN2697,738.81,1300.47
28,2022-12-30 21:40:00,2022-12-30 22:55:00,Dallas (DAL),Lubbock (LBB),WN3477,614.18,3331.01
29,2022-12-30 17:20:00,2022-12-30 18:25:00,Houston (IAH),Dallas (DAL),WN3278,255.62,3084.8
30,2022-12-30 15:25:00,2022-12-30 16:45:00,New Orleans (MSY),Houston (IAH),WN3278,730.73,2597.47
31,2022-12-30 11:45:00,2022-12-30 14:45:00,Baltimore (BWI),New Orleans (MSY),WN3278,427.66,1120.91
32,2022-12-30 11:20:00,2022-12-30 14:20:00,Austin (AUS),Baltimore (BWI),WN3462,845.83,3956.66
33,2022-12-29 18:15:00,2022-12-29 20:30:00,San Jose del Cabo (SJD),Austin (AUS),WN628,170.32,3938.2
34,2022-12-29 14:25:00,2022-12-29 17:20:00,Houston (HOU),San Jose del Cabo (SJD),WN880,648.22,3513.01
35,2022-12-29 04:45:00,2022-12-29 06:20:00,Nashville (BNA),New Orleans (MSY),WN1542,789.74,3357.31
36,2022-12-29 03:25:00,2022-12-29 06:35:00,Phoenix (PHX),Nashville (BNA),WN3112,1011.63,3929.53
37,2022-12-29 00:55:00,2022-12-29 03:55:00,Boston (BOS),Nashville (BNA),WN1542,1041.31,2363.37
38,2022-12-28 23:00:00,2022-12-28 23:56:00,Harlingen (HRL),Houston (HOU),WN8617,375.04,2504.05
39,2022-12-28 22:05:00,2022-12-28 00:10:00,Chicago (MDW),Boston (BOS),WN2094,1157.99,2810.51
40,2022-12-28 13:40:00,2022-12-28 14:50:00,Las Vegas (LAS),Phoenix (PHX),WN3266,570.71,2437.13
41,2022-12-28 13:35:00,2022-12-28 14:50:00,Santa Barbara (SBA),Las Vegas (LAS),WN2204,310.33,1005.87
42,2022-12-28 05:15:00,2022-12-28 06:55:00,Denver (DEN),Midland (MAF),WN2356,1184.69,3468.92
43,2022-12-28 04:05:00,2022-12-28 04:55:00,Colorado Springs (COS),Denver (DEN),WN3265,294.89,2551.97
44,2022-12-28 01:45:00,2022-12-28 03:30:00,Las Vegas (LAS),Colorado Springs (COS),WN3619,564.91,1487.03
45,2022-12-28 00:30:00,2022-12-28 01:40:00,Little Rock (LIT),Dallas (DAL),WN2273,1104.45,2156.52
46,2022-12-27 20:05:00,2022-12-27 01:00:00,Pittsburgh (PIT),Las Vegas (LAS),WN3527,1169.53,3746.96
47,2022-12-27 17:10:00,2022-12-27 19:25:00,Orlando (MCO),Pittsburgh (PIT),WN3527,471.83,2114.76
48,2022-12-27 14:35:00,2022-12-27 16:30:00,Nashville (BNA),Orlando (MCO),WN826,276.82,3550.11
49,2022-12-27 11:55:00,2022-12-27 14:00:00,Washington (DCA),Nashville (BNA),WN826,540.81,873.32
50,2023-01-04 03:40:00,2023-01-04 05:55:00,Nashville (BNA),Houston (HOU),WN1823,885.23,1312.2
51,2023-01-04 01:30:00,2023-01-04 02:55:00,Columbus (CMH),Nashville (BNA),WN1823,807.29,2565.7
52,2023-01-03 22:30:00,2023-01-03 00:55:00,Houston (HOU),Columbus (CMH),WN33,700.85,4128
53,2023-01-03 20:50:00,2023-01-03 21:50:00,San Antonio (SAT),Houston (HOU),WN2799,450.34,987.36
54,2023-01-03 19:05:00,2023-01-03 20:05:00,Houston (HOU),San Antonio (SAT),WN2576,714.05,1520.91
55,2023-01-03 15:40:00,2023-01-03 18:20:00,Orlando (MCO),Houston (HOU),WN2576,870.43,1978.3
56,2023-01-03 13:10:00,2023-01-03 14:50:00,New Orleans (MSY),Orlando (MCO),WN574,592.88,2406.74
57,2023-01-02 22:30:00,2023-01-02 23:30:00,Houston (HOU),New Orleans (MSY),WN8938,680.76,1890.48
58,2023-01-02 18:10:00,2023-01-02 19:09:00,New Orleans (MSY),Houston (HOU),WN8509,1083.84,4096.26
59,2023-01-01 01:30:00,2023-01-01 03:20:00,Orlando (MCO),New Orleans (MSY),WN1768,839.58,3678.14
60,2022-12-31 22:45:00,2022-12-31 00:55:00,Columbus (CMH),Orlando (MCO),WN2702,453.53,1339.78
61,2022-12-31 19:35:00,2022-12-31 22:05:00,Austin (AUS),Columbus (CMH),WN2702,955.57,4087.68
62,2022-12-31 17:10:00,2022-12-31 18:55:00,Albuquerque (ABQ),Austin (AUS),WN2702,1119.89,1162.27
63,2022-12-31 14:15:00,2022-12-31 16:35:00,Houston (HOU),Albuquerque (ABQ),WN706,414.97,3612.16
64,2022-12-31 11:35:00,2022-12-31 13:40:00,Birmingham (BHM),Houston (HOU),WN706,702.03,3822
65,2022-12-31 04:55:00,2022-12-31 06:25:00,Dallas (DAL),Birmingham (BHM),WN1290,167.54,2324.17
66,2022-12-31 01:20:00,2022-12-31 04:15:00,Los Angeles (LAX),Dallas (DAL),WN1290,1043.36,1436.97
67,2022-12-31 00:25:00,2022-12-31 00:39:00,Burbank (BUR),Los Angeles (LAX),WN8617,903.48,3489.16
68,2022-12-30 18:00:00,2022-12-30 23:50:00,Harrisburg (MDT),Burbank (BUR),WN8056,809.18,1769.65
69,2022-12-30 16:10:00,2022-12-30 16:40:00,Baltimore (BWI),Harrisburg (MDT),WN8616,697.65,1208.24
70,2022-12-29 02:25:00,2022-12-29 04:45:00,Fort Myers (RSW),Baltimore (BWI),WN2893,334.69,1011.95
71,2022-12-28 23:05:00,2022-12-28 01:21:00,Fort Myers (RSW),Baltimore (BWI),WN8546,1109.75,2614.45
72,2022-12-28 22:20:00,2022-12-28 01:45:00,Denver (DEN),Fort Myers (RSW),WN2893,530.32,3576.1
73,2022-12-28 17:30:00,2022-12-28 18:50:00,Las Vegas (LAS),Tucson (TUS),WN3268,922.15,2832.27
74,2022-12-28 12:05:00,2022-12-28 13:50:00,Phoenix (PHX),Denver (DEN),WN3579,1197.13,1086.19
75,2023-01-05 01:30:00,2023-01-05 03:55:00,Indianapolis (IND),Fort Myers (RSW),WN1688,534.58,3979.61
76,2023-01-04 22:40:00,2023-01-04 00:55:00,Denver (DEN),Indianapolis (IND),WN1688,619.11,3682.83
77,2023-01-04 20:10:00,2023-01-04 22:00:00,Phoenix (PHX),Denver (DEN),WN1688,394.05,2806.55
78,2023-01-04 18:10:00,2023-01-04 19:30:00,El Paso (ELP),Phoenix (PHX),WN1688,976.05,1666.05
79,2023-01-04 16:00:00,2023-01-04 17:35:00,San Antonio (SAT),El Paso (ELP),WN1688,720.35,3879.15
80,2023-01-04 13:15:00,2023-01-04 15:30:00,Denver (DEN),San Antonio (SAT),WN2163,1071.1,4024.91
81,2023-01-04 04:50:00,2023-01-04 06:40:00,Phoenix (PHX),Denver (DEN),WN2440,785.48,1055.46
82,2023-01-03 22:55:00,2023-01-03 00:20:00,Santa Ana (SNA),San Jose (SJC),WN2158,193.93,4021.57
83,2023-01-03 17:35:00,2023-01-03 22:20:00,Nashville (BNA),Santa Ana (SNA),WN2158,286.23,3892.6
84,2023-01-03 15:15:00,2023-01-03 17:00:00,Myrtle Beach (MYR),Nashville (BNA),WN2158,415.83,3451.08
85,2023-01-03 13:15:00,2023-01-03 14:45:00,Baltimore (BWI),Myrtle Beach (MYR),WN2158,453.53,2661.49
86,2023-01-03 10:35:00,2023-01-03 11:55:00,Buffalo (BUF),Baltimore (BWI),WN2421,857.93,2198.24
87,2023-01-03 03:55:00,2023-01-03 05:05:00,Baltimore (BWI),Buffalo (BUF),WN2054,738.92,2234.71
88,2023-01-03 01:10:00,2023-01-03 02:55:00,Chicago (MDW),Baltimore (BWI),WN3290,673.72,2540.89
89,2023-01-02 22:40:00,2023-01-02 00:30:00,Oklahoma City (OKC),Chicago (MDW),WN3290,289.14,2036.92
90,2023-01-02 20:35:00,2023-01-02 22:05:00,San Antonio (SAT),Oklahoma City (OKC),WN3290,1125.54,3985.07
91,2023-01-02 17:10:00,2023-01-02 20:00:00,Tampa (TPA),San Antonio (SAT),WN3290,698.06,1958.29
92,2023-01-02 13:40:00,2023-01-02 16:35:00,Philadelphia (PHL),Tampa (TPA),WN3290,312.13,883.68
93,2023-01-02 11:05:00,2023-01-02 13:00:00,Chicago (MDW),Philadelphia (PHL),WN2519,428.58,2431.19
94,2023-01-01 19:00:00,2023-01-01 21:30:00,Austin (AUS),Chicago (MDW),WN3782,276.27,2701.72
95,2023-01-01 16:05:00,2023-01-01 18:20:00,St. Louis (STL),Austin (AUS),WN598,660.55,3364.43
96,2023-01-01 12:05:00,2023-01-01 15:25:00,Boston (BOS),St. Louis (STL),WN598,728.73,3711.1
97,2023-01-01 03:05:00,2023-01-01 05:25:00,Nashville (BNA),Boston (BOS),WN3223,319.96,2156.08
98,2023-01-01 00:20:00,2023-01-01 02:30:00,Fort Myers (RSW),Nashville (BNA),WN3223,159.35,2271.3
99,2022-12-31 21:20:00,2022-12-31 23:45:00,St. Louis (STL),Fort Myers (RSW),WN1408,1065.35,960.71
100,2022-12-31 20:00:00,2022-12-31 21:26:00,Atlanta (ATL),St. Louis (STL),WN8504,882.29,2691.8
101,2022-12-31 17:05:00,2022-12-31 18:18:00,Tampa (TPA),Atlanta (ATL),WN8605,620.15,3391.68
102,2022-12-31 15:00:00,2022-12-31 16:30:00,Golden Triangle (GTR),Tampa (TPA),WN8058,240.28,3428.7
103,2022-12-31 12:30:00,2022-12-31 13:21:00,Atlanta (ATL),Golden Triangle (GTR),WN8604,329.54,3898.15
104,2022-12-31 00:50:00,2022-12-31 02:40:00,Dallas (DAL),Atlanta (ATL),WN3342,925.55,3081.46
105,2022-12-30 23:00:00,2022-12-30 00:05:00,Austin (AUS),Dallas (DAL),WN3342,1149.07,2076.72
106,2022-12-30 21:20:00,2022-12-30 22:15:00,Houston (HOU),Austin (AUS),WN3342,796.09,1919.76
107,2022-12-30 17:30:00,2022-12-30 20:30:00,Long Beach (LGB),Houston (HOU),WN3342,566.45,2094.46
108,2022-12-30 15:35:00,2022-12-30 16:55:00,San Jose (SJC),Long Beach (LGB),WN3342,945.41,4008.61
109,2022-12-28 04:55:00,2022-12-28 06:25:00,San Jose (SJC),Santa Ana (SNA),WN3237,323.22,3294.85
110,2022-12-28 01:35:00,2022-12-28 04:15:00,Denver (DEN),San Jose (SJC),WN3237,570.18,2144.58
111,2022-12-27 22:30:00,2022-12-27 00:55:00,Oakland (OAK),Denver (DEN),WN3058,699.28,2933.36
112,2022-12-27 19:45:00,2022-12-27 21:15:00,Palm Springs (PSP),Oakland (OAK),WN1778,359.51,2730.56
113,2022-12-27 16:55:00,2022-12-27 18:35:00,Denver (DEN),Palm Springs (PSP),WN8871,896.04,1154.97
114,2022-12-27 15:00:00,2022-12-27 17:25:00,Denver (DEN),Palm Springs (PSP),WN2712,994.6,4020.31
115,2022-12-27 11:20:00,2022-12-27 14:15:00,Chicago (MDW),Denver (DEN),WN2712,922.62,2756.41
116,2023-01-05 02:50:00,2023-01-05 05:40:00,Indianapolis (IND),Denver (DEN),WN2505,833.51,3609.21
117,2023-01-05 00:45:00,2023-01-05 02:10:00,Atlanta (ATL),Indianapolis (IND),WN2505,252.96,1277.16
118,2023-01-04 22:00:00,2023-01-04 23:45:00,Sarasota (SRQ),Atlanta (ATL),WN2505,557.66,1466.9
119,2023-01-04 18:50:00,2023-01-04 21:25:00,Baltimore (BWI),Sarasota (SRQ),WN1359,1068.76,2573.27
120,2023-01-04 16:20:00,2023-01-04 18:10:00,Jacksonville (JAX),Baltimore (BWI),WN403,490.43,3338.14
121,2023-01-04 13:35:00,2023-01-04 15:40:00,Baltimore (BWI),Jacksonville (JAX),WN2320,350.53,2557
122,2023-01-04 10:45:00,2023-01-04 12:40:00,Portland (PWM),Baltimore (BWI),WN2320,169.16,2969.7
123,2023-01-04 02:45:00,2023-01-04 04:10:00,Baltimore (BWI),Portland (PWM),WN3498,786.74,2770.92
124,2023-01-04 00:05:00,2023-01-04 01:45:00,Atlanta (ATL),Baltimore (BWI),WN3498,1128.69,1525.68
125,2023-01-03 21:30:00,2023-01-03 23:25:00,Miami (MIA),Atlanta (ATL),WN3498,1000.8,2897.89
126,2023-01-03 18:30:00,2023-01-03 20:50:00,Houston (HOU),Miami (MIA),WN3357,1090.17,1456.94
127,2023-01-03 16:45:00,2023-01-03 17:50:00,Harlingen (HRL),Houston (HOU),WN3357,902.85,1743.78
128,2023-01-03 15:00:00,2023-01-03 16:10:00,Austin (AUS),Harlingen (HRL),WN744,763.19,809.09
129,2023-01-03 11:15:00,2023-01-03 13:45:00,Nashville (BNA),Austin (AUS),WN1614,689.35,1477.85
130,2023-01-03 01:30:00,2023-01-03 03:45:00,Philadelphia (PHL),Nashville (BNA),WN3011,430.88,3696.1
131,2023-01-02 22:20:00,2023-01-02 00:45:00,Tampa (TPA),Philadelphia (PHL),WN457,218.74,4197.45
132,2023-01-02 19:05:00,2023-01-02 21:35:00,Baltimore (BWI),Tampa (TPA),WN1596,1033.34,3535.7
133,2023-01-02 17:10:00,2023-01-02 18:25:00,Windsor Locks (BDL),Baltimore (BWI),WN1596,197.46,3834.05
134,2023-01-02 15:15:00,2023-01-02 16:30:00,Baltimore (BWI),Windsor Locks (BDL),WN1381,882.29,3356.69
135,2023-01-02 12:35:00,2023-01-02 14:15:00,Charlotte (CLT),Baltimore (BWI),WN1381,792.12,3226.78
136,2023-01-02 01:35:00,2023-01-02 03:10:00,Baltimore (BWI),Charlotte (CLT),WN1700,359.11,4080.52
137,2023-01-01 22:25:00,2023-01-01 01:00:00,Fort Lauderdale (FLL),Baltimore (BWI),WN264,1132.04,3181.2
138,2023-01-01 19:15:00,2023-01-01 20:55:00,George Town (GCM),Fort Lauderdale (FLL),WN1216,1030.35,1577.08
139,2023-01-01 16:40:00,2023-01-01 18:20:00,Fort Lauderdale (FLL),George Town (GCM),WN1215,160.05,1130.14
140,2023-01-01 14:20:00,2023-01-01 15:25:00,Orlando (MCO),Fort Lauderdale (FLL),WN2470,715.24,3747.44
141,2023-01-01 11:15:00,2023-01-01 13:40:00,Columbus (CMH),Orlando (MCO),WN2470,320.14,2153.58
142,2023-01-01 00:00:00,2023-01-01 02:40:00,Fort Lauderdale (FLL),Columbus (CMH),WN1810,894.08,1076.29
143,2022-12-31 20:20:00,2022-12-31 22:15:00,Providenciales (PLS),Fort Lauderdale (FLL),WN619,1114.92,984.14
144,2022-12-31 17:35:00,2022-12-31 19:25:00,Fort Lauderdale (FLL),Providenciales (PLS),WN618,267.56,1373.1
145,2022-12-31 14:05:00,2022-12-31 16:20:00,Houston (HOU),Fort Lauderdale (FLL),WN1687,161.21,4168.25
146,2022-12-31 11:05:00,2022-12-31 13:25:00,Nashville (BNA),Houston (HOU),WN352,800.01,2546.07
147,2022-12-31 04:05:00,2022-12-31 05:55:00,Houston (HOU),Nashville (BNA),WN3053,230.43,1800.55
148,2022-12-31 01:55:00,2022-12-31 03:15:00,Oklahoma City (OKC),Houston (HOU),WN3053,613.08,940.45
149,2022-12-30 23:50:00,2022-12-30 01:20:00,Denver (DEN),Oklahoma City (OKC),WN3053,952.26,4068.26
150,2022-12-30 20:25:00,2022-12-30 23:10:00,Chicago (MDW),Denver (DEN),WN3394,890.34,1727.61
151,2022-12-30 17:35:00,2022-12-30 19:45:00,Richmond (RIC),Chicago (MDW),WN3394,1007.48,2636.08
152,2022-12-30 15:25:00,2022-12-30 17:00:00,Atlanta (ATL),Richmond (RIC),WN2262,847.27,2069.78
153,2022-12-30 12:00:00,2022-12-30 14:50:00,Denver (DEN),Atlanta (ATL),WN2262,374.48,1162.23
154,2022-12-29 04:40:00,2022-12-29 06:15:00,Nashville (BNA),Chicago (MDW),WN2069,927.47,3399.08
155,2022-12-29 02:10:00,2022-12-29 03:50:00,Charleston (CHS),Nashville (BNA),WN2069,1009.18,2216.92
156,2022-12-29 00:10:00,2022-12-29 01:35:00,Nashville (BNA),Charleston (CHS),WN3824,343.68,1419.79
157,2022-12-28 20:55:00,2022-12-28 22:25:00,Chicago (ORD),Nashville (BNA),WN482,626.29,777.92
158,2022-12-28 14:15:00,2022-12-28 15:45:00,Los Angeles (LAX),Phoenix (PHX),WN482,1131.82,966.31
159,2022-12-28 05:50:00,2022-12-28 07:15:00,Phoenix (PHX),Los Angeles (LAX),WN3253,1192.95,3635.12
160,2022-12-28 03:40:00,2022-12-28 07:50:00,Orlando (MCO),Denver (DEN),WN1829,485.52,3034.85
161,2022-12-27 23:55:00,2022-12-27 02:25:00,Spokane (GEG),Phoenix (PHX),WN1269,398.98,1406.73
162,2022-12-27 20:45:00,2022-12-27 23:10:00,Denver (DEN),Spokane (GEG),WN4574,354.74,3279.58
163,2022-12-27 20:40:00,2022-12-27 00:05:00,Oranjestad (AUA),Orlando (MCO),WN1641,616.59,4095.33
164,2022-12-27 16:35:00,2022-12-27 19:45:00,Orlando (MCO),Oranjestad (AUA),WN1443,1187.23,1631.55
165,2023-01-04 02:50:00,2023-01-04 03:55:00,Chicago (MDW),Cincinnati (CVG),WN704,1093.33,2355.56
166,2023-01-04 01:20:00,2023-01-04 02:30:00,Detroit (DTW),Chicago (MDW),WN1349,904.92,4045.03
167,2023-01-03 01:40:00,2023-01-03 03:40:00,Denver (DEN),Dallas (DAL),WN3029,886.04,2631.41
168,2023-01-03 00:40:00,2023-01-03 01:40:00,Hayden (HDN),Denver (DEN),WN500,764.75,2106.39
169,2023-01-02 23:00:00,2023-01-02 23:55:00,Denver (DEN),Hayden (HDN),WN3377,1026.77,1617.92
170,2023-01-02 19:40:00,2023-01-02 22:15:00,Memphis (MEM),Denver (DEN),WN3377,682.54,1225.47
171,2023-01-02 17:35:00,2023-01-02 19:00:00,Houston (HOU),Memphis (MEM),WN3377,590.1,3289.48
172,2023-01-02 15:35:00,2023-01-02 16:55:00,Midland (MAF),Houston (HOU),WN3377,1015.14,1622.65
173,2023-01-02 13:30:00,2023-01-02 15:00:00,Houston (HOU),Midland (MAF),WN1257,918.19,2849.02
174,2023-01-02 10:00:00,2023-01-02 12:55:00,Miami (MIA),Houston (HOU),WN1257,797.44,2000.95
175,2022-12-30 15:00:00,2022-12-30 16:05:00,Houston (HOU),Dallas (DAL),WN6,888.17,4058.58
176,2022-12-30 14:20:00,2022-12-30 16:35:00,Houston (HOU),Miami (MIA),WN3414,659.92,2292.92
177,2022-12-30 13:10:00,2022-12-30 14:10:00,Corpus Christi (CRP),Houston (HOU),WN6,577.98,3839.1
178,2022-12-30 04:20:00,2022-12-30 05:15:00,Houston (HOU),Corpus Christi (CRP),WN57,1092.47,3022.23
179,2022-12-30 00:00:00,2022-12-30 03:35:00,Washington (DCA),Houston (HOU),WN2600,532.03,3555.03
180,2022-12-29 19:25:00,2022-12-29 21:20:00,St. Louis (STL),Washington (DCA),WN1270,1089.72,3004.33
181,2022-12-29 05:10:00,2022-12-29 06:25:00,San Diego (SAN),Phoenix (PHX),WN1419,1086.07,3090.23
182,2022-12-29 03:00:00,2022-12-29 04:30:00,Sacramento (SMF),San Diego (SAN),WN1419,900.86,2265.75
183,2022-12-29 02:40:00,2022-12-29 04:15:00,Dallas (DAL),St. Louis (STL),WN3105,772.88,1952.52
184,2022-12-28 19:55:00,2022-12-28 21:55:00,Denver (DEN),Dallas (DAL),WN184,562.05,920.99
185,2022-12-28 16:00:00,2022-12-28 18:20:00,Long Beach (LGB),Denver (DEN),WN490,269.77,2145.64
186,2022-12-27 18:35:00,2022-12-27 20:41:00,Denver (DEN),Long Beach (LGB),WN8603,804.24,2537.63
187,2022-12-27 17:25:00,2022-12-27 19:35:00,Denver (DEN),Long Beach (LGB),WN8890,363.34,1875.08
188,2022-12-27 15:45:00,2022-12-27 18:20:00,Denver (DEN),Long Beach (LGB),WN3107,726.31,2519.76
189,2022-12-27 11:05:00,2022-12-27 13:35:00,St. Louis (STL),Denver (DEN),WN4813,916.09,2750.18
190,2022-12-27 04:20:00,2022-12-27 08:05:00,St. Louis (STL),Las Vegas (LAS),WN3844,814.68,2937.02
191,2023-01-04 04:50:00,2023-01-04 06:50:00,Denver (DEN),Tucson (TUS),WN2402,1046.22,1100.43
192,2023-01-04 00:55:00,2023-01-04 04:00:00,Birmingham (BHM),Denver (DEN),WN2402,1199.1,1952.72
193,2023-01-03 22:50:00,2023-01-03 00:25:00,Orlando (MCO),Birmingham (BHM),WN2402,950.25,2949.73
194,2023-01-03 19:45:00,2023-01-03 22:25:00,Chicago (ORD),Orlando (MCO),WN818,668.9,3124.38
195,2023-01-03 16:40:00,2023-01-03 19:00:00,Baltimore (BWI),Chicago (ORD),WN2076,1056.62,3629.5
196,2023-01-03 14:20:00,2023-01-03 16:05:00,Chicago (MDW),Baltimore (BWI),WN1487,650.81,4007.56
197,2023-01-03 11:00:00,2023-01-03 13:05:00,Rochester (ROC),Chicago (MDW),WN2336,714.42,1749.97
198,2023-01-03 02:05:00,2023-01-03 03:35:00,Chicago (MDW),Rochester (ROC),WN2764,179.65,1533.9
199,2023-01-02 22:10:00,2023-01-02 00:50:00,New York (LGA),Chicago (MDW),WN1382,583.79,2736.7
200,2023-01-02 19:59:00,2023-01-02 21:26:00,Chicago (MDW),New York (LGA),WN9011,871.56,1078.67
201,2023-01-02 19:25:00,2023-01-02 21:30:00,Chicago (MDW),New York (LGA),WN277,534.64,4073.76
202,2023-01-02 12:10:00,2023-01-02 15:30:00,Phoenix (PHX),Chicago (MDW),WN2257,1019.53,2649.28
203,2023-01-02 03:55:00,2023-01-02 05:10:00,Ontario (ONT),Phoenix (PHX),WN989,1016.02,3289.4
204,2023-01-02 02:05:00,2023-01-02 03:20:00,Phoenix (PHX),Ontario (ONT),WN2641,870.03,860.64
205,2023-01-01 21:55:00,2023-01-01 00:35:00,Puerto Vallarta (PVR),Phoenix (PHX),WN1299,555.18,3037.86
206,2023-01-01 18:10:00,2023-01-01 21:00:00,Santa Ana (SNA),Puerto Vallarta (PVR),WN763,415.15,1842.28
207,2023-01-01 15:10:00,2023-01-01 16:35:00,Burbank (BUR),Oakland (OAK),WN794,1084.41,1404.02
208,2023-01-01 15:10:00,2023-01-01 16:45:00,Sacramento (SMF),Santa Ana (SNA),WN714,256.65,4041.02
209,2023-01-01 04:35:00,2023-01-01 05:50:00,Sacramento (SMF),Burbank (BUR),WN3284,880.09,1000.33
210,2023-01-01 02:30:00,2023-01-01 04:00:00,Portland (PDX),Sacramento (SMF),WN1560,643.99,2778.39
211,2022-12-31 22:05:00,2022-12-31 01:55:00,Kansas City (MCI),Portland (PDX),WN1560,623.33,2315.26
212,2022-12-31 19:45:00,2022-12-31 21:30:00,Nashville (BNA),Kansas City (MCI),WN1560,801.58,3055.84
213,2022-12-31 14:40:00,2022-12-31 19:00:00,San Jose (SJC),Nashville (BNA),WN1560,1163.08,3076.95
214,2022-12-31 04:55:00,2022-12-31 06:50:00,Phoenix (PHX),San Jose (SJC),WN3499,679.17,3271.59
215,2022-12-31 03:00:00,2022-12-31 04:15:00,San Diego (SAN),Phoenix (PHX),WN3283,358.06,778.35
216,2022-12-31 01:00:00,2022-12-31 02:20:00,San Jose (SJC),San Diego (SAN),WN3283,521.78,3103.07
217,2022-12-30 22:30:00,2022-12-30 00:15:00,Portland (PDX),San Jose (SJC),WN3283,426.64,924.28
218,2022-12-30 20:05:00,2022-12-30 21:35:00,Sacramento (SMF),Portland (PDX),WN888,889.54,1325.12
219,2022-12-30 18:10:00,2022-12-30 19:25:00,Santa Barbara (SBA),Sacramento (SMF),WN888,980.82,1089.35
220,2022-12-30 16:10:00,2022-12-30 17:30:00,Las Vegas (LAS),Santa Barbara (SBA),WN888,399.38,2225.34
221,2022-12-30 13:55:00,2022-12-30 15:10:00,Los Angeles (LAX),Las Vegas (LAS),WN238,1182.23,817.55
222,2022-12-29 23:40:00,2022-12-29 01:43:00,Seattle (SEA),Los Angeles (LAX),WN8615,1053.99,3893.57
223,2022-12-29 05:25:00,2022-12-29 08:10:00,Las Vegas (LAS),Seattle (SEA),WN2499,1164.81,2182.59
224,2022-12-29 00:35:00,2022-12-29 02:50:00,Indianapolis (IND),Orlando (MCO),WN313,415.48,1218.82
225,2022-12-28 21:35:00,2022-12-28 00:00:00,Sarasota (SRQ),Indianapolis (IND),WN2725,393.81,3698.07
226,2022-12-28 18:40:00,2022-12-28 21:00:00,Dallas (DAL),Sarasota (SRQ),WN1309,771.25,2707.52
227,2022-12-28 16:05:00,2022-12-28 17:55:00,Pensacola (PNS),Dallas (DAL),WN972,331.49,869.18
