Id_delta,depart_date_time,arrive_date_time,depart_airport,arrive_airport,flight_number,flight_cost_coach,flight_cost_business,flight_cost_first,org_dest_code,org_dest_code,distances_miles,org_dest_code
839,"2023-01-03 19:21:00","2023-01-03 22:43:00","Atlanta (ATL)","Albuquerque (ABQ)",DL2728,373.6,2409.61,8582.7,ATL_ABQ,ATL_ABQ,1269,ATL_ABQ
738,"2023-01-01 23:57:00","2023-01-01 03:25:00","Atlanta (ATL)","Albuquerque (ABQ)",DL2059,286.29,3206.67,9443.62,ATL_ABQ,ATL_ABQ,1269,ATL_ABQ
526,"2022-12-30 14:00:00","2022-12-30 17:35:00","Atlanta (ATL)","Albuquerque (ABQ)",DL955,275.28,2121.8,7462.93,ATL_ABQ,ATL_ABQ,1269,ATL_ABQ
480,"2022-12-31 23:57:00","2022-12-31 03:25:00","Atlanta (ATL)","Albuquerque (ABQ)",DL2059,449.08,1731.38,4385.73,ATL_ABQ,ATL_ABQ,1269,ATL_ABQ
419,"2022-12-28 01:25:00","2022-12-28 04:52:00","Atlanta (ATL)","Albuquerque (ABQ)",DL2955,660.27,3080.19,3687,ATL_ABQ,ATL_ABQ,1269,ATL_ABQ
383,"2022-12-27 19:21:00","2022-12-27 22:43:00","Atlanta (ATL)","Albuquerque (ABQ)",DL2728,713.3,2526.56,3929,ATL_ABQ,ATL_ABQ,1269,ATL_ABQ
259,"2023-01-01 16:35:00","2023-01-01 20:09:00","Atlanta (ATL)","Albuquerque (ABQ)",DL1569,436.02,2071.18,6302.85,ATL_ABQ,ATL_ABQ,1269,ATL_ABQ
83,"2022-12-28 19:21:00","2022-12-28 22:43:00","Atlanta (ATL)","Albuquerque (ABQ)",DL2728,517.29,811.75,8667.77,ATL_ABQ,ATL_ABQ,1269,ATL_ABQ
1112,"2022-12-30 02:49:00","2022-12-30 04:59:00","Atlanta (ATL)","Windsor Locks (BDL)",DL2542,666.01,2881.64,3146.15,ATL_BDL,ATL_BDL,859,ATL_BDL
1104,"2023-01-01 02:00:00","2023-01-01 04:13:00","Atlanta (ATL)","Windsor Locks (BDL)",DL2542,419.73,2027.17,7392.64,ATL_BDL,ATL_BDL,859,ATL_BDL
1114,"2022-12-29 21:52:00","2022-12-29 22:55:00","Atlanta (ATL)","Nashville (BNA)",DL2946,333.97,2821.05,8445.58,ATL_BNA,ATL_BNA,214,ATL_BNA
1110,"2022-12-30 14:50:00","2022-12-30 15:54:00","Atlanta (ATL)","Nashville (BNA)",DL1660,664.22,956.38,9166.36,ATL_BNA,ATL_BNA,214,ATL_BNA
1108,"2022-12-30 19:31:00","2022-12-30 20:35:00","Atlanta (ATL)","Nashville (BNA)",DL1592,484.55,2965.92,4443.75,ATL_BNA,ATL_BNA,214,ATL_BNA
1094,"2023-01-03 04:45:00","2023-01-03 05:48:00","Atlanta (ATL)","Nashville (BNA)",DL2433,410.21,3348.46,4953.49,ATL_BNA,ATL_BNA,214,ATL_BNA
1217,"2023-01-01 15:07:00","2023-01-01 19:56:00","Atlanta (ATL)","Boise (BOI)",DL1111,597.95,1291.41,9788.38,ATL_BOI,ATL_BOI,1838,ATL_BOI
742,"2022-12-31 15:07:00","2022-12-31 19:56:00","Atlanta (ATL)","Boise (BOI)",DL1111,385.62,1977.66,6779.33,ATL_BOI,ATL_BOI,1838,ATL_BOI
1931,"2023-01-05 01:00:00","2023-01-05 03:31:00","Atlanta (ATL)","Boston (BOS)",DL2990,463.76,1103.43,9231.89,ATL_BOS,ATL_BOS,946,ATL_BOS
1519,"2022-12-30 13:30:00","2022-12-30 16:03:00","Atlanta (ATL)","Boston (BOS)",DL415,276.81,3473.17,5564.41,ATL_BOS,ATL_BOS,946,ATL_BOS
1457,"2023-01-05 03:25:00","2023-01-05 05:56:00","Atlanta (ATL)","Boston (BOS)",DL411,634.96,1295.16,5274.82,ATL_BOS,ATL_BOS,946,ATL_BOS
1450,"2022-12-28 12:00:00","2022-12-28 14:35:00","Atlanta (ATL)","Boston (BOS)",DL2085,449.08,3394.43,8913.69,ATL_BOS,ATL_BOS,946,ATL_BOS
1325,"2023-01-03 12:00:00","2023-01-03 14:35:00","Atlanta (ATL)","Boston (BOS)",DL2085,311.06,1303.02,4791.39,ATL_BOS,ATL_BOS,946,ATL_BOS
1323,"2023-01-03 19:58:00","2023-01-03 22:30:00","Atlanta (ATL)","Boston (BOS)",DL787,635.55,2477.73,7890.04,ATL_BOS,ATL_BOS,946,ATL_BOS
1131,"2023-01-04 03:25:00","2023-01-04 05:56:00","Atlanta (ATL)","Boston (BOS)",DL411,666,3406.44,5398.88,ATL_BOS,ATL_BOS,946,ATL_BOS
1066,"2022-12-30 12:00:00","2022-12-30 14:35:00","Atlanta (ATL)","Boston (BOS)",DL2085,358.29,822.92,7284.04,ATL_BOS,ATL_BOS,946,ATL_BOS
1064,"2022-12-30 19:58:00","2022-12-30 22:30:00","Atlanta (ATL)","Boston (BOS)",DL787,554.49,1253.69,3085.48,ATL_BOS,ATL_BOS,946,ATL_BOS
946,"2023-01-02 21:18:00","2023-01-02 23:49:00","Atlanta (ATL)","Boston (BOS)",DL1214,746.68,1128.67,9364.01,ATL_BOS,ATL_BOS,946,ATL_BOS
905,"2023-01-04 16:15:00","2023-01-04 18:49:00","Atlanta (ATL)","Boston (BOS)",DL1709,312.75,1499.98,9715.04,ATL_BOS,ATL_BOS,946,ATL_BOS
813,"2022-12-31 13:30:00","2022-12-31 16:03:00","Atlanta (ATL)","Boston (BOS)",DL415,623.01,3047.59,7584.61,ATL_BOS,ATL_BOS,946,ATL_BOS
670,"2022-12-31 16:15:00","2022-12-31 18:49:00","Atlanta (ATL)","Boston (BOS)",DL1709,529.7,1904.43,7732.55,ATL_BOS,ATL_BOS,946,ATL_BOS
668,"2023-01-01 03:25:00","2023-01-01 05:56:00","Atlanta (ATL)","Boston (BOS)",DL411,720,2325.56,9421.14,ATL_BOS,ATL_BOS,946,ATL_BOS
644,"2022-12-28 16:15:00","2022-12-28 18:49:00","Atlanta (ATL)","Boston (BOS)",DL1709,497.84,2746.08,9389.55,ATL_BOS,ATL_BOS,946,ATL_BOS
574,"2022-12-28 01:00:00","2022-12-28 03:31:00","Atlanta (ATL)","Boston (BOS)",DL2990,709.22,1176.98,9895.49,ATL_BOS,ATL_BOS,946,ATL_BOS
437,"2023-01-02 16:15:00","2023-01-02 18:49:00","Atlanta (ATL)","Boston (BOS)",DL1709,692.51,3064.71,9865.88,ATL_BOS,ATL_BOS,946,ATL_BOS
356,"2023-01-03 01:00:00","2023-01-03 03:31:00","Atlanta (ATL)","Boston (BOS)",DL2990,502.24,2194.9,4977.47,ATL_BOS,ATL_BOS,946,ATL_BOS
347,"2022-12-27 01:00:00","2022-12-27 03:31:00","Atlanta (ATL)","Boston (BOS)",DL2990,270.29,804.21,3165.31,ATL_BOS,ATL_BOS,946,ATL_BOS
257,"2023-01-02 13:30:00","2023-01-02 16:03:00","Atlanta (ATL)","Boston (BOS)",DL415,310.4,2820.98,5954.06,ATL_BOS,ATL_BOS,946,ATL_BOS
238,"2022-12-27 21:18:00","2022-12-27 23:49:00","Atlanta (ATL)","Boston (BOS)",DL1214,592.42,961.75,8461.23,ATL_BOS,ATL_BOS,946,ATL_BOS
205,"2022-12-27 13:30:00","2022-12-27 16:03:00","Atlanta (ATL)","Boston (BOS)",DL415,348.19,3274.34,5472.51,ATL_BOS,ATL_BOS,946,ATL_BOS
94,"2023-01-04 01:00:00","2023-01-04 03:31:00","Atlanta (ATL)","Boston (BOS)",DL2990,264.23,3151.26,5011.19,ATL_BOS,ATL_BOS,946,ATL_BOS
59,"2023-01-03 03:25:00","2023-01-03 05:56:00","Atlanta (ATL)","Boston (BOS)",DL1452,311.06,2880.35,4984.43,ATL_BOS,ATL_BOS,946,ATL_BOS
1723,"2023-01-01 16:00:00","2023-01-01 18:01:00","Atlanta (ATL)","Buffalo (BUF)",DL755,418.35,2525.01,8478.47,ATL_BUF,ATL_BUF,712,ATL_BUF
1714,"2023-01-03 14:07:00","2023-01-03 16:08:00","Atlanta (ATL)","Buffalo (BUF)",DL2028,623.01,887.66,3877.94,ATL_BUF,ATL_BUF,712,ATL_BUF
1710,"2023-01-04 20:14:00","2023-01-04 22:12:00","Atlanta (ATL)","Buffalo (BUF)",DL1507,295.2,2293.15,7253.25,ATL_BUF,ATL_BUF,712,ATL_BUF
1708,"2023-01-05 02:55:00","2023-01-05 04:58:00","Atlanta (ATL)","Buffalo (BUF)",DL2030,707.92,3247.93,6424.38,ATL_BUF,ATL_BUF,712,ATL_BUF
1521,"2022-12-29 20:14:00","2022-12-29 22:12:00","Atlanta (ATL)","Buffalo (BUF)",DL1507,338.62,3350.25,5693.13,ATL_BUF,ATL_BUF,712,ATL_BUF
1448,"2022-12-28 20:14:00","2022-12-28 22:12:00","Atlanta (ATL)","Buffalo (BUF)",DL1507,531.58,1112.76,6884.86,ATL_BUF,ATL_BUF,712,ATL_BUF
1319,"2023-01-04 14:07:00","2023-01-04 16:08:00","Atlanta (ATL)","Buffalo (BUF)",DL2028,356.53,2845.11,8629.54,ATL_BUF,ATL_BUF,712,ATL_BUF
1162,"2022-12-28 02:55:00","2022-12-28 04:58:00","Atlanta (ATL)","Buffalo (BUF)",DL2030,571.17,2821,9622.23,ATL_BUF,ATL_BUF,712,ATL_BUF
1075,"2022-12-28 14:07:00","2022-12-28 16:08:00","Atlanta (ATL)","Buffalo (BUF)",DL2028,717.28,1290.28,8308.13,ATL_BUF,ATL_BUF,712,ATL_BUF
859,"2022-12-29 14:07:00","2022-12-29 16:08:00","Atlanta (ATL)","Buffalo (BUF)",DL2028,556.69,1992.95,7454.26,ATL_BUF,ATL_BUF,712,ATL_BUF
849,"2023-01-01 01:50:00","2023-01-01 03:46:00","Atlanta (ATL)","Buffalo (BUF)",DL2030,424.93,2930.51,5935.98,ATL_BUF,ATL_BUF,712,ATL_BUF
488,"2022-12-30 02:55:00","2022-12-30 04:58:00","Atlanta (ATL)","Buffalo (BUF)",DL2030,468.14,2156.46,3301.8,ATL_BUF,ATL_BUF,712,ATL_BUF
251,"2023-01-03 14:07:00","2023-01-03 16:08:00","Atlanta (ATL)","Buffalo (BUF)",DL2028,601.24,2434.85,3838.29,ATL_BUF,ATL_BUF,712,ATL_BUF
247,"2023-01-04 20:14:00","2023-01-04 22:12:00","Atlanta (ATL)","Buffalo (BUF)",DL1507,736.11,1031.6,6453.18,ATL_BUF,ATL_BUF,712,ATL_BUF
245,"2023-01-05 02:55:00","2023-01-05 04:58:00","Atlanta (ATL)","Buffalo (BUF)",DL2030,263.9,2881.62,7057.17,ATL_BUF,ATL_BUF,712,ATL_BUF
73,"2022-12-30 20:14:00","2022-12-30 22:12:00","Atlanta (ATL)","Buffalo (BUF)",DL1507,527.56,2280.33,8939.9,ATL_BUF,ATL_BUF,712,ATL_BUF
1116,"2022-12-29 15:10:00","2022-12-29 16:56:00","Atlanta (ATL)","Baltimore (BWI)",DL786,606.69,3059.57,3617.55,ATL_BWI,ATL_BWI,577,ATL_BWI
1428,"2023-01-03 14:29:00","2023-01-03 18:48:00","Atlanta (ATL)","Bozeman (BZN)",DL2469,714.83,922.12,8675.02,ATL_BZN,ATL_BZN,1640,ATL_BZN
217,"2023-01-02 14:29:00","2023-01-02 18:48:00","Atlanta (ATL)","Bozeman (BZN)",DL2469,353.85,1011.5,8782.14,ATL_BZN,ATL_BZN,1640,ATL_BZN
199,"2022-12-28 14:29:00","2022-12-28 18:48:00","Atlanta (ATL)","Bozeman (BZN)",DL2469,726.48,3162.59,4871.03,ATL_BZN,ATL_BZN,1640,ATL_BZN
166,"2022-12-27 14:29:00","2022-12-27 18:48:00","Atlanta (ATL)","Bozeman (BZN)",DL2469,537.75,1488.96,3076.92,ATL_BZN,ATL_BZN,1640,ATL_BZN
1954,"2023-01-05 03:49:00","2023-01-05 04:33:00","Atlanta (ATL)","Chattanooga (CHA)",DL2011,692.3,946.93,5582.65,ATL_CHA,ATL_CHA,106,ATL_CHA
1914,"2022-12-30 03:49:00","2022-12-30 04:33:00","Atlanta (ATL)","Chattanooga (CHA)",DL2011,438.68,2384.59,5183.83,ATL_CHA,ATL_CHA,106,ATL_CHA
1088,"2023-01-04 03:49:00","2023-01-04 04:33:00","Atlanta (ATL)","Chattanooga (CHA)",DL2011,326.71,2935.87,8120.26,ATL_CHA,ATL_CHA,106,ATL_CHA
1118,"2022-12-29 01:45:00","2022-12-29 03:54:00","Atlanta (ATL)","Cedar Rapids (CID)",DL2897,517.96,795.1,9629.57,ATL_CID,ATL_CID,694,ATL_CID
1082,"2023-01-05 01:45:00","2023-01-05 03:54:00","Atlanta (ATL)","Cedar Rapids (CID)",DL2897,547.57,1713.83,5942.08,ATL_CID,ATL_CID,694,ATL_CID
2004,"2023-01-05 03:37:00","2023-01-05 05:23:00","Atlanta (ATL)","Cleveland (CLE)",DL960,295.27,2470.34,7527.19,ATL_CLE,ATL_CLE,554,ATL_CLE
1949,"2022-12-28 00:59:00","2022-12-28 02:44:00","Atlanta (ATL)","Cleveland (CLE)",DL343,506.62,1839.26,7285.34,ATL_CLE,ATL_CLE,554,ATL_CLE
1589,"2022-12-31 17:15:00","2022-12-31 18:58:00","Atlanta (ATL)","Cleveland (CLE)",DL2146,496.74,3242.47,8976.6,ATL_CLE,ATL_CLE,554,ATL_CLE
1579,"2023-01-03 16:13:00","2023-01-03 17:58:00","Atlanta (ATL)","Cleveland (CLE)",DL1638,408.38,3331.63,8979.05,ATL_CLE,ATL_CLE,554,ATL_CLE
1357,"2023-01-04 03:37:00","2023-01-04 05:23:00","Atlanta (ATL)","Cleveland (CLE)",DL960,619.18,2250.77,4933.95,ATL_CLE,ATL_CLE,554,ATL_CLE
1040,"2023-01-05 00:59:00","2023-01-05 02:44:00","Atlanta (ATL)","Cleveland (CLE)",DL343,570.59,2545.8,3947.88,ATL_CLE,ATL_CLE,554,ATL_CLE
726,"2022-12-27 00:59:00","2022-12-27 02:44:00","Atlanta (ATL)","Cleveland (CLE)",DL343,576.24,754.31,3651.45,ATL_CLE,ATL_CLE,554,ATL_CLE
519,"2022-12-31 22:45:00","2022-12-31 00:28:00","Atlanta (ATL)","Cleveland (CLE)",DL2286,742.19,1853.77,9933.8,ATL_CLE,ATL_CLE,554,ATL_CLE
515,"2023-01-02 03:37:00","2023-01-02 05:23:00","Atlanta (ATL)","Cleveland (CLE)",DL960,428.5,3120.74,7601.16,ATL_CLE,ATL_CLE,554,ATL_CLE
310,"2022-12-27 03:37:00","2022-12-27 05:23:00","Atlanta (ATL)","Cleveland (CLE)",DL960,447.84,2303.6,8097.53,ATL_CLE,ATL_CLE,554,ATL_CLE
265,"2022-12-31 03:37:00","2022-12-31 05:23:00","Atlanta (ATL)","Cleveland (CLE)",DL960,285.59,2496.6,3281.42,ATL_CLE,ATL_CLE,554,ATL_CLE
197,"2022-12-29 00:59:00","2022-12-29 02:44:00","Atlanta (ATL)","Cleveland (CLE)",DL343,740.81,3261.77,7297.33,ATL_CLE,ATL_CLE,554,ATL_CLE
122,"2022-12-29 03:37:00","2022-12-29 05:23:00","Atlanta (ATL)","Cleveland (CLE)",DL960,431.73,2338.07,3572.21,ATL_CLE,ATL_CLE,554,ATL_CLE
9,"2023-01-03 00:59:00","2023-01-03 02:44:00","Atlanta (ATL)","Cleveland (CLE)",DL343,360.78,2787.07,6804.56,ATL_CLE,ATL_CLE,554,ATL_CLE
263,"2022-12-31 14:46:00","2022-12-31 17:25:00","Atlanta (ATL)","Cancun (CUN)",DL586,714.19,1496.48,3248.92,ATL_CUN,ATL_CUN,880,ATL_CUN
120,"2022-12-29 14:46:00","2022-12-29 17:25:00","Atlanta (ATL)","Cancun (CUN)",DL586,412.97,3080.17,3099.87,ATL_CUN,ATL_CUN,880,ATL_CUN
7,"2023-01-03 16:14:00","2023-01-03 18:55:00","Atlanta (ATL)","Cancun (CUN)",DL598,595.43,1152.84,5130.07,ATL_CUN,ATL_CUN,880,ATL_CUN
1984,"2022-12-30 13:40:00","2022-12-30 15:19:00","Atlanta (ATL)","Washington (DCA)",DL910,387.03,1713.68,7426.93,ATL_DCA,ATL_DCA,547,ATL_DCA
1980,"2022-12-31 00:55:00","2022-12-31 02:34:00","Atlanta (ATL)","Washington (DCA)",DL349,530.78,782.71,4947.52,ATL_DCA,ATL_DCA,547,ATL_DCA
1573,"2023-01-04 15:22:00","2023-01-04 17:03:00","Atlanta (ATL)","Washington (DCA)",DL306,569.95,2802.89,9684.88,ATL_DCA,ATL_DCA,547,ATL_DCA
1571,"2023-01-04 21:20:00","2023-01-04 22:59:00","Atlanta (ATL)","Washington (DCA)",DL2206,720.59,2225.02,6824.52,ATL_DCA,ATL_DCA,547,ATL_DCA
1569,"2023-01-05 03:20:00","2023-01-05 04:56:00","Atlanta (ATL)","Washington (DCA)",DL537,740.81,1795.97,9747.14,ATL_DCA,ATL_DCA,547,ATL_DCA
1204,"2023-01-04 19:43:00","2023-01-04 21:21:00","Atlanta (ATL)","Washington (DCA)",DL464,461.2,1103.41,9096.71,ATL_DCA,ATL_DCA,547,ATL_DCA
1794,"2022-12-29 13:10:00","2022-12-29 16:38:00","Atlanta (ATL)","Denver (DEN)",DL818,587.39,2777.86,6510.25,ATL_DEN,ATL_DEN,1199,ATL_DEN
1792,"2022-12-29 21:47:00","2022-12-29 01:09:00","Atlanta (ATL)","Denver (DEN)",DL540,291.69,1233.43,7919.32,ATL_DEN,ATL_DEN,1199,ATL_DEN
1718,"2023-01-02 16:45:00","2023-01-02 20:08:00","Atlanta (ATL)","Denver (DEN)",DL982,579.12,1644.4,4454.48,ATL_DEN,ATL_DEN,1199,ATL_DEN
1355,"2023-01-04 14:40:00","2023-01-04 18:07:00","Atlanta (ATL)","Denver (DEN)",DL2351,529.7,2250.84,3885.04,ATL_DEN,ATL_DEN,1199,ATL_DEN
1314,"2022-12-27 03:39:00","2022-12-27 07:03:00","Atlanta (ATL)","Denver (DEN)",DL711,644.26,1489,4392.56,ATL_DEN,ATL_DEN,1199,ATL_DEN
1243,"2023-01-04 18:45:00","2023-01-04 22:05:00","Atlanta (ATL)","Denver (DEN)",DL514,463.85,1617.5,7291.43,ATL_DEN,ATL_DEN,1199,ATL_DEN
1046,"2023-01-03 13:10:00","2023-01-03 16:38:00","Atlanta (ATL)","Denver (DEN)",DL818,562.85,877.55,6607.46,ATL_DEN,ATL_DEN,1199,ATL_DEN
1044,"2023-01-03 21:50:00","2023-01-03 01:12:00","Atlanta (ATL)","Denver (DEN)",DL540,315.18,1108.14,4216.35,ATL_DEN,ATL_DEN,1199,ATL_DEN
978,"2023-01-02 13:10:00","2023-01-02 16:38:00","Atlanta (ATL)","Denver (DEN)",DL818,448.76,3137.52,4187.54,ATL_DEN,ATL_DEN,1199,ATL_DEN
976,"2023-01-02 21:50:00","2023-01-02 01:12:00","Atlanta (ATL)","Denver (DEN)",DL540,421.13,3018.38,6405.42,ATL_DEN,ATL_DEN,1199,ATL_DEN
883,"2023-01-01 23:40:00","2023-01-01 03:05:00","Atlanta (ATL)","Denver (DEN)",DL2249,618.2,1210.12,9093.94,ATL_DEN,ATL_DEN,1199,ATL_DEN
704,"2023-01-01 16:59:00","2023-01-01 20:22:00","Atlanta (ATL)","Denver (DEN)",DL982,300.6,3129,9706.63,ATL_DEN,ATL_DEN,1199,ATL_DEN
648,"2022-12-27 16:45:00","2022-12-27 20:08:00","Atlanta (ATL)","Denver (DEN)",DL982,559.07,2930.51,9872.85,ATL_DEN,ATL_DEN,1199,ATL_DEN
537,"2022-12-27 14:40:00","2022-12-27 18:07:00","Atlanta (ATL)","Denver (DEN)",DL2351,272.82,1119.1,3957.17,ATL_DEN,ATL_DEN,1199,ATL_DEN
535,"2022-12-27 23:40:00","2022-12-27 03:05:00","Atlanta (ATL)","Denver (DEN)",DL2249,481.94,1524.71,5417.44,ATL_DEN,ATL_DEN,1199,ATL_DEN
507,"2023-01-04 03:39:00","2023-01-04 07:03:00","Atlanta (ATL)","Denver (DEN)",DL711,651.3,3271.33,4456.89,ATL_DEN,ATL_DEN,1199,ATL_DEN
478,"2023-01-01 18:45:00","2023-01-01 22:05:00","Atlanta (ATL)","Denver (DEN)",DL514,348.19,3254.38,7896.72,ATL_DEN,ATL_DEN,1199,ATL_DEN
457,"2022-12-28 16:45:00","2022-12-28 20:08:00","Atlanta (ATL)","Denver (DEN)",DL982,290.81,1874.03,8156.77,ATL_DEN,ATL_DEN,1199,ATL_DEN
396,"2023-01-02 23:40:00","2023-01-02 03:05:00","Atlanta (ATL)","Denver (DEN)",DL2249,724.85,2756.06,8638.72,ATL_DEN,ATL_DEN,1199,ATL_DEN
354,"2023-01-03 18:45:00","2023-01-03 22:05:00","Atlanta (ATL)","Denver (DEN)",DL514,602.7,2872.81,7029.87,ATL_DEN,ATL_DEN,1199,ATL_DEN
329,"2022-12-31 18:45:00","2022-12-31 22:05:00","Atlanta (ATL)","Denver (DEN)",DL514,715.82,2171.87,9797.78,ATL_DEN,ATL_DEN,1199,ATL_DEN
320,"2023-01-03 03:39:00","2023-01-03 07:03:00","Atlanta (ATL)","Denver (DEN)",DL711,597.92,3331.36,5983.71,ATL_DEN,ATL_DEN,1199,ATL_DEN
295,"2022-12-30 13:10:00","2022-12-30 16:38:00","Atlanta (ATL)","Denver (DEN)",DL818,428.07,3151.28,5553.86,ATL_DEN,ATL_DEN,1199,ATL_DEN
293,"2022-12-30 21:47:00","2022-12-30 01:09:00","Atlanta (ATL)","Denver (DEN)",DL540,538.75,2954.9,7731.56,ATL_DEN,ATL_DEN,1199,ATL_DEN
195,"2022-12-29 14:40:00","2022-12-29 18:07:00","Atlanta (ATL)","Denver (DEN)",DL2351,321.82,1314.39,6043.73,ATL_DEN,ATL_DEN,1199,ATL_DEN
89,"2022-12-26 23:40:00","2022-12-26 03:05:00","Atlanta (ATL)","Denver (DEN)",DL2249,617.67,2545.8,7839.41,ATL_DEN,ATL_DEN,1199,ATL_DEN
1877,"2023-01-03 20:21:00","2023-01-03 22:49:00","Atlanta (ATL)","Dallas (DFW)",DL2455,260.14,1257.95,6421.42,ATL_DFW,ATL_DFW,731,ATL_DFW
1052,"2023-01-02 12:20:00","2023-01-02 14:50:00","Atlanta (ATL)","Dallas (DFW)",DL429,277.8,1411.24,3702.94,ATL_DFW,ATL_DFW,731,ATL_DFW
1042,"2023-01-04 18:09:00","2023-01-04 20:34:00","Atlanta (ATL)","Dallas (DFW)",DL1273,263.51,2663.49,3655.21,ATL_DFW,ATL_DFW,731,ATL_DFW
819,"2022-12-30 03:30:00","2022-12-30 05:58:00","Atlanta (ATL)","Dallas (DFW)",DL1002,592.43,1230.85,4258.96,ATL_DFW,ATL_DFW,731,ATL_DFW
815,"2022-12-30 22:06:00","2022-12-30 00:36:00","Atlanta (ATL)","Dallas (DFW)",DL815,531.32,2999.32,5595.84,ATL_DFW,ATL_DFW,731,ATL_DFW
748,"2022-12-30 12:20:00","2022-12-30 14:50:00","Atlanta (ATL)","Dallas (DFW)",DL429,312.11,2047.99,5439.65,ATL_DFW,ATL_DFW,731,ATL_DFW
734,"2023-01-03 03:30:00","2023-01-03 05:58:00","Atlanta (ATL)","Dallas (DFW)",DL1002,518.81,812.36,9635,ATL_DFW,ATL_DFW,731,ATL_DFW
473,"2023-01-03 01:56:00","2023-01-03 04:24:00","Atlanta (ATL)","Dallas (DFW)",DL31,331.5,3427.32,4320.06,ATL_DFW,ATL_DFW,731,ATL_DFW
455,"2022-12-29 01:56:00","2022-12-29 04:24:00","Atlanta (ATL)","Dallas (DFW)",DL31,605.91,2797.06,8857.1,ATL_DFW,ATL_DFW,731,ATL_DFW
423,"2022-12-27 03:30:00","2022-12-27 05:58:00","Atlanta (ATL)","Dallas (DFW)",DL1002,389.59,1560.23,3684.56,ATL_DFW,ATL_DFW,731,ATL_DFW
276,"2023-01-04 12:20:00","2023-01-04 14:50:00","Atlanta (ATL)","Dallas (DFW)",DL429,459.14,1374.07,8553.2,ATL_DFW,ATL_DFW,731,ATL_DFW
1562,"2022-12-28 12:15:00","2022-12-28 14:12:00","Atlanta (ATL)","Detroit (DTW)",DL389,664.03,2955.92,7037.09,ATL_DTW,ATL_DTW,594,ATL_DTW
1513,"2022-12-31 14:14:00","2022-12-31 16:10:00","Atlanta (ATL)","Detroit (DTW)",DL352,493.05,1719.79,4854.28,ATL_DTW,ATL_DTW,594,ATL_DTW
1453,"2022-12-27 14:14:00","2022-12-27 16:10:00","Atlanta (ATL)","Detroit (DTW)",DL352,636.42,2854.53,3390.52,ATL_DTW,ATL_DTW,594,ATL_DTW
1298,"2022-12-30 19:00:00","2022-12-30 20:58:00","Atlanta (ATL)","Detroit (DTW)",DL386,409.16,1190.1,9681.1,ATL_DTW,ATL_DTW,594,ATL_DTW
1289,"2023-01-01 16:11:00","2023-01-01 18:10:00","Atlanta (ATL)","Detroit (DTW)",DL455,448.16,2267.78,3596.2,ATL_DTW,ATL_DTW,594,ATL_DTW
